[INFO] loaded cube with shape (170, 213, 3385) from /home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif using adapter=hyperion
[INFO] image size: H=213, W=3385
[INFO] valid row_start range: 0..149
[INFO] valid col_start range: 0..3321

sample_id,row_start,row_stop,col_start,col_stop
candidate_0100,0,64,0,64
candidate_0101,0,64,128,192
candidate_0102,0,64,256,320
candidate_0103,0,64,384,448
candidate_0104,0,64,512,576
candidate_0105,0,64,640,704
candidate_0106,0,64,768,832
candidate_0107,0,64,896,960
candidate_0108,0,64,1024,1088
candidate_0109,0,64,1152,1216
candidate_0110,0,64,1280,1344
candidate_0111,0,64,1408,1472
candidate_0112,0,64,1536,1600
candidate_0113,0,64,1664,1728
candidate_0114,0,64,1792,1856
candidate_0115,0,64,1920,1984
candidate_0116,0,64,2048,2112
candidate_0117,0,64,2176,2240
candidate_0118,0,64,2304,2368
candidate_0119,0,64,2432,2496
candidate_0120,0,64,2560,2624
candidate_0121,0,64,2688,2752
candidate_0122,0,64,2816,2880
candidate_0123,0,64,2944,3008
candidate_0124,0,64,3072,3136
candidate_0125,0,64,3200,3264
candidate_0126,16,80,0,64
candidate_0127,16,80,128,192
candidate_0128,16,80,256,320
candidate_0129,16,80,384,448
candidate_0130,16,80,512,576
candidate_0131,16,80,640,704
candidate_0132,16,80,768,832
candidate_0133,16,80,896,960
candidate_0134,16,80,1024,1088
candidate_0135,16,80,1152,1216
candidate_0136,16,80,1280,1344
candidate_0137,16,80,1408,1472
candidate_0138,16,80,1536,1600
candidate_0139,16,80,1664,1728
candidate_0140,16,80,1792,1856
candidate_0141,16,80,1920,1984
candidate_0142,16,80,2048,2112
candidate_0143,16,80,2176,2240
candidate_0144,16,80,2304,2368
candidate_0145,16,80,2432,2496
candidate_0146,16,80,2560,2624
candidate_0147,16,80,2688,2752
candidate_0148,16,80,2816,2880
candidate_0149,16,80,2944,3008
candidate_0150,16,80,3072,3136
candidate_0151,16,80,3200,3264
candidate_0152,32,96,0,64
candidate_0153,32,96,128,192
candidate_0154,32,96,256,320
candidate_0155,32,96,384,448
candidate_0156,32,96,512,576
candidate_0157,32,96,640,704
candidate_0158,32,96,768,832
candidate_0159,32,96,896,960
candidate_0160,32,96,1024,1088
candidate_0161,32,96,1152,1216
candidate_0162,32,96,1280,1344
candidate_0163,32,96,1408,1472
candidate_0164,32,96,1536,1600
candidate_0165,32,96,1664,1728
candidate_0166,32,96,1792,1856
candidate_0167,32,96,1920,1984
candidate_0168,32,96,2048,2112
candidate_0169,32,96,2176,2240
candidate_0170,32,96,2304,2368
candidate_0171,32,96,2432,2496
candidate_0172,32,96,2560,2624
candidate_0173,32,96,2688,2752
candidate_0174,32,96,2816,2880
candidate_0175,32,96,2944,3008
candidate_0176,32,96,3072,3136
candidate_0177,32,96,3200,3264
candidate_0178,48,112,0,64
candidate_0179,48,112,128,192
candidate_0180,48,112,256,320
candidate_0181,48,112,384,448
candidate_0182,48,112,512,576
candidate_0183,48,112,640,704
candidate_0184,48,112,768,832
candidate_0185,48,112,896,960
candidate_0186,48,112,1024,1088
candidate_0187,48,112,1152,1216
candidate_0188,48,112,1280,1344
candidate_0189,48,112,1408,1472
candidate_0190,48,112,1536,1600
candidate_0191,48,112,1664,1728
candidate_0192,48,112,1792,1856
candidate_0193,48,112,1920,1984
candidate_0194,48,112,2048,2112
candidate_0195,48,112,2176,2240
candidate_0196,48,112,2304,2368
candidate_0197,48,112,2432,2496
candidate_0198,48,112,2560,2624
candidate_0199,48,112,2688,2752
candidate_0200,48,112,2816,2880
candidate_0201,48,112,2944,3008
candidate_0202,48,112,3072,3136
candidate_0203,48,112,3200,3264
candidate_0204,64,128,0,64
candidate_0205,64,128,128,192
candidate_0206,64,128,256,320
candidate_0207,64,128,384,448
candidate_0208,64,128,512,576
candidate_0209,64,128,640,704
candidate_0210,64,128,768,832
candidate_0211,64,128,896,960
candidate_0212,64,128,1024,1088
candidate_0213,64,128,1152,1216
candidate_0214,64,128,1280,1344
candidate_0215,64,128,1408,1472
candidate_0216,64,128,1536,1600
candidate_0217,64,128,1664,1728
candidate_0218,64,128,1792,1856
candidate_0219,64,128,1920,1984
