sample_id,scene_id,input_path,sensor,row_start,row_stop,col_start,col_stop,label,confidence,source,split,notes
sample_0001,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,20,84,200,264,wet,0.90,manual_ui,test,initial wetness candidate
sample_0002,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,60,124,500,564,wet,0.85,manual_ui,train,wet candidate 2
sample_0003,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,100,164,900,964,wet,0.80,manual_ui,train,wet candidate 3
sample_0004,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,140,204,1300,1364,wet,0.75,manual_ui,val,wet candidate 4
sample_0005,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,20,84,1700,1764,dry,0.95,manual_ui,val,dry control 1
sample_0006,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,60,124,2200,2264,dry,0.90,manual_ui,test,dry control 2
sample_0007,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,100,164,2700,2764,dry,0.85,manual_ui,train,dry control 3
sample_0008,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,140,204,3200,3264,dry,0.75,manual_ui,train,dry control 4
sample_0009,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,0,64,wet,0.9,manual_ui,train,wet candidate 5 provisional
sample_0010,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,128,192,wet,0.88,manual_ui,train,wet candidate 6 provisional
