sample_id,scene_id,input_path,sensor,row_start,row_stop,col_start,col_stop,label,confidence,source,split,notes,confidence_tier,valid_ratio,wet_ratio_valid,valid_pixels,dry_pixels,wet_pixels,ignore_pixels,tier1_pixels,tier2_pixels,tier3_pixels,block_row,block_col,block_id,split_policy
confali_00001,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,64,128,2432,2496,dry,0.921875,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.922119,0.000265,3777,3776,1,319,1,0,0,0,10,block_r000_c010,spatial_block
confali_00002,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,128,192,2368,2432,wet,0.812538,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.933350,0.228355,3823,2950,873,273,125,89,659,0,10,block_r000_c010,spatial_block
confali_00003,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,128,192,2432,2496,wet,0.918794,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,1.000000,0.105225,4096,3665,431,0,42,21,368,0,10,block_r000_c010,spatial_block
confali_00004,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,128,192,2496,2560,dry,1.000000,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.000000,4096,4096,0,0,0,0,0,0,11,block_r000_c011,spatial_block
confali_00005,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,192,256,2304,2368,dry,0.862305,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.922607,0.065361,3779,3532,247,317,116,44,87,0,10,block_r000_c010,spatial_block
confali_00006,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,192,256,2368,2432,wet,0.768840,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,1.000000,0.176025,4096,3375,721,0,191,118,412,0,10,block_r000_c010,spatial_block
confali_00007,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,192,256,2432,2496,dry,0.911621,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.088379,4096,3734,362,0,129,103,130,0,10,block_r000_c010,spatial_block
confali_00008,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,192,256,2496,2560,dry,0.908936,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.994873,0.086380,4075,3723,352,21,62,56,234,0,11,block_r000_c011,spatial_block
confali_00009,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,256,320,2240,2304,dry,0.868896,confidence_ali.tif,val,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.906494,0.041476,3713,3559,154,383,104,30,20,1,10,block_r001_c010,spatial_block
confali_00010,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,256,320,2304,2368,wet,0.626375,confidence_ali.tif,val,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,1,0.948242,0.112513,3884,3447,437,212,174,97,166,1,10,block_r001_c010,spatial_block
confali_00011,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,256,320,2368,2432,wet,0.780062,confidence_ali.tif,val,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,1.000000,0.130615,4096,3561,535,0,126,101,308,1,10,block_r001_c010,spatial_block
confali_00012,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,256,320,2432,2496,dry,0.906494,confidence_ali.tif,val,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.994873,0.088834,4075,3713,362,21,136,106,120,1,10,block_r001_c010,spatial_block
confali_00013,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,320,384,2176,2240,dry,0.870117,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.919678,0.053889,3767,3564,203,329,102,54,47,1,9,block_r001_c009,spatial_block
confali_00014,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,320,384,2240,2304,dry,0.933105,confidence_ali.tif,val,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.066895,4096,3822,274,0,168,61,45,1,10,block_r001_c010,spatial_block
confali_00015,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,320,384,2304,2368,wet,0.688312,confidence_ali.tif,val,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,1.000000,0.112793,4096,3634,462,0,157,118,187,1,10,block_r001_c010,spatial_block
confali_00016,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,320,384,2368,2432,wet,0.690112,confidence_ali.tif,val,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.996338,0.128890,4081,3555,526,15,174,137,215,1,10,block_r001_c010,spatial_block
confali_00017,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,384,448,2112,2176,dry,0.852295,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.915771,0.069315,3751,3491,260,345,134,85,41,1,9,block_r001_c009,spatial_block
confali_00018,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,384,448,2176,2240,dry,0.930420,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.069580,4096,3811,285,0,110,52,123,1,9,block_r001_c009,spatial_block
confali_00019,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,384,448,2240,2304,wet,0.579487,confidence_ali.tif,val,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,1,1.000000,0.111084,4096,3641,455,0,206,162,87,1,10,block_r001_c010,spatial_block
confali_00020,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,384,448,2304,2368,dry,0.899902,confidence_ali.tif,val,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.997559,0.097895,4086,3686,400,10,220,102,78,1,10,block_r001_c010,spatial_block
confali_00021,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,448,512,2048,2112,dry,0.834961,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.911621,0.084092,3734,3420,314,362,152,43,119,2,9,block_r002_c009,spatial_block
confali_00022,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,448,512,2112,2176,dry,0.896484,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.961914,0.068020,3940,3672,268,156,173,56,39,2,9,block_r002_c009,spatial_block
confali_00023,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,448,512,2176,2240,dry,0.944824,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.055176,4096,3870,226,0,117,32,77,2,9,block_r002_c009,spatial_block
confali_00024,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,448,512,2240,2304,dry,0.936279,confidence_ali.tif,val,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.997559,0.061429,4086,3835,251,10,139,70,42,2,10,block_r002_c010,spatial_block
confali_00025,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,512,576,1984,2048,dry,0.818604,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.908203,0.098656,3720,3353,367,376,158,130,79,2,8,block_r002_c008,spatial_block
confali_00026,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,512,576,2048,2112,dry,0.900635,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.099365,4096,3689,407,0,140,148,119,2,9,block_r002_c009,spatial_block
confali_00027,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,512,576,2112,2176,dry,0.930664,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.069336,4096,3812,284,0,175,79,30,2,9,block_r002_c009,spatial_block
confali_00028,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,512,576,2176,2240,dry,0.916016,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.998535,0.082641,4090,3752,338,6,175,78,85,2,9,block_r002_c009,spatial_block
confali_00029,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,576,640,1920,1984,dry,0.825684,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.904785,0.087426,3706,3382,324,390,157,82,85,2,8,block_r002_c008,spatial_block
confali_00030,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,576,640,1984,2048,dry,0.924805,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.075195,4096,3788,308,0,221,67,20,2,8,block_r002_c008,spatial_block
confali_00031,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,576,640,2048,2112,dry,0.945312,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.054688,4096,3872,224,0,163,49,12,2,9,block_r002_c009,spatial_block
confali_00032,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,576,640,2112,2176,dry,0.959717,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.999268,0.039580,4093,3931,162,3,122,40,0,2,9,block_r002_c009,spatial_block
confali_00033,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,640,704,1920,1984,wet,0.728515,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.999512,0.120420,4094,3601,493,2,156,89,248,2,8,block_r002_c008,spatial_block
confali_00034,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,640,704,1984,2048,dry,0.943359,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.990479,0.047572,4057,3864,193,39,99,70,24,2,8,block_r002_c008,spatial_block
confali_00035,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,640,704,2048,2112,dry,0.911621,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.999268,0.087711,4093,3734,359,3,209,94,56,2,9,block_r002_c009,spatial_block
confali_00036,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,704,768,1856,1920,dry,0.916748,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.083252,4096,3755,341,0,200,78,63,3,8,block_r003_c008,spatial_block
